TITLE:Test
WAVE:Western.wav
BPM:120
OFFSET:-0.5
#START,
0,0
0,0
0,0
0,0
0,0
1111,0
1111,0
1111,0
1100,0
10110201,00000000
00000000,10110201
0,0
0,1111
01001111,01001111
11130000,11130000
0,0010
0,0010
0,1000
0,1111
0,1111
12001100,00110012
1010,0101
1010,0101
11000000,00003000
1010,0101
11000000,00003000
0,0
111000000111,0220
1111,1111
1111,1111             
1010,0
22200000,0
0,0011
0,1111
0,1111
0,1111
0,1100
1010,0
22200000,1010
0,12300000
1003,1001
1000,0
10001100,00000022
01010101,0
0,10101010
10001000,0
10000100,0
01000100,0
0,1212
1212,0
010000010010,000010000000,
011000222000,0
0,1110
1110,0
01010000,0
0.23002300
0,0
0,0
1010,0
12100000,0
0,1010
0,12300012
0,30000000
0,0.
















